icao,iata,name,shortName,municipalityName,countryCode,lat,lon,from,averageDailyFlights
RJTT,HND,"Tokyo, Tokyo",,Tokyo,JP,35.5523,139.78,JFK,2.29
KMCI,MCI,"Kansas City, Kansas City",,Kansas City,US,39.2976,-94.7139,JFK,2.18
TJBQ,BQN,"Rafael Hernandez, Aguadilla",Rafael Hernandez,Aguadilla,PR,18.4949,-67.1294,JFK,2.14
KPDX,PDX,"Portland, Portland",,Portland,US,45.5887,-122.598,JFK,2.14
KITH,ITH,"Ithaca Tompkins Regional, Ithaca",Tompkins Regional,Ithaca,US,42.491,-76.4584,JFK,2.02
MBPV,PLS,"Providenciales, Providenciales Island",Providenciales,Providenciales Island,TC,21.7736,-72.2659,JFK,2.01
KBGR,BGR,"Bangor, Bangor",,Bangor,US,44.8074,-68.8281,JFK,2.0
OMDB,DXB,"Dubai, Dubai City",Dubai,Dubai City,AE,25.252798,55.3644,JFK,2.0
EIDW,DUB,"Dublin, Dublin",,Dublin,IE,53.4213,-6.27007,JFK,2.0
VHHH,HKG,"Chek Lap Kok, Hong Kong",Chek Lap Kok,Hong Kong,HK,22.3089,113.915,JFK,2.0
PHNL,HNL,"Honolulu, Honolulu",,Honolulu,US,21.3187,-157.922,JFK,2.0
KIAH,IAH,"George Bush Intercontinental Houston, Houston",George Bush Intercontinental,Houston,US,29.9844,-95.3414,JFK,2.0
TIST,STT,"Cyril E. King, Charlotte Amalie, Harry S. Truman Airport",Cyril E. King,"Charlotte Amalie, Harry S. Truman Airport",VI,18.3373,-64.9734,JFK,2.0
VIDP,DEL,"Indira Gandhi, New Delhi",Indira Gandhi,New Delhi,IN,28.5665,77.1031,JFK,1.87
TNCM,SXM,"Princess Juliana, Saint Martin",Princess Juliana,Saint Martin,SX,18.041,-63.1089,JFK,1.87
SEGU,GYE,"José Joaquín de Olmedo, Guayaquil",José Joaquín de Olmedo,Guayaquil,EC,-2.157419,-79.8836,JFK,1.86
LPPT,LIS,"Lisbon Portela, Lisbon",Portela,Lisbon,PT,38.7813,-9.135919,JFK,1.86
OMAA,AUH,"Abu Dhabi, Abu Dhabi Island and Internal Islands City",Abu Dhabi,Abu Dhabi Island and Internal Islands City,AE,24.433,54.6511,JFK,1.71
KMKE,MKE,"General Mitchell, Milwaukee",General Mitchell,Milwaukee,US,42.9472,-87.8966,JFK,1.71
TAPA,ANU,"V.C. Bird, St. George",V.C. Bird,St. George,AG,17.1367,-61.7927,JFK,1.57
SAEZ,EZE,"Ministro Pistarini, Buenos Aires",Ministro Pistarini,Buenos Aires,AR,-34.8222,-58.5358,JFK,1.57
TBPB,BGI,"Sir Grantley Adams, Bridgetown",Sir Grantley Adams,Bridgetown,BB,13.0746,-59.4925,JFK,1.43
MWCR,GCM,"Owen Roberts, Georgetown",Owen Roberts,Georgetown,KY,19.2928,-81.3577,JFK,1.43
BIKF,KEF,"Keflavik, Reykjavik",Keflavik,Reykjavik,IS,63.985,-22.6056,JFK,1.43
TXKF,BDA,"L.F. Wade, Hamilton",L.F. Wade,Hamilton,BM,32.364,-64.6787,JFK,1.37
LSGG,GVA,"Geneva Cointrin, Geneva",Cointrin,Geneva,CH,46.2381,6.10895,JFK,1.29
MROC,SJO,"Juan Santamaria, San José",Juan Santamaria,San José,CR,9.99386,-84.2088,JFK,1.2
GMMN,CMN,"Mohammed V, Casablanca",Mohammed V,Casablanca,MA,33.3675,-7.58997,JFK,1.14
MRLB,LIR,"Daniel Oduber Quiros, Liberia",Daniel Oduber Quiros,Liberia,CR,10.593299,-85.5444,JFK,1.14
KSRQ,SRQ,"Sarasota Bradenton, Sarasota/Bradenton",Sarasota Bradenton,Sarasota/Bradenton,US,27.3954,-82.5544,JFK,1.14
MGGT,GUA,"La Aurora, Guatemala City",La Aurora,Guatemala City,GT,14.583299,-90.5275,JFK,1.12
RCTP,TPE,"Taiwan Taoyuan, Taipei",Taiwan Taoyuan,Taipei,TW,25.0777,121.233,JFK,1.06
KSAT,SAT,"San Antonio, San Antonio",,San Antonio,US,29.5337,-98.4698,JFK,1.02
SKRG,MDE,"Jose Maria Córdova, Rionegro",Jose Maria Córdova,Rionegro,CO,6.16454,-75.4231,JFK,1.02
DGAA,ACC,"Kotoka, Accra",Kotoka,Accra,GH,5.605189,-0.166786,JFK,1.0
HECA,CAI,"Cairo, Cairo",,Cairo,EG,30.1219,31.4056,JFK,1.0
SKCG,CTG,"Rafael Nuñez, Cartagena de Indias",Rafael Nuñez,Cartagena de Indias,CO,10.4424,-75.513,JFK,1.0
KRFD,RFD,"Chicago Rockford, Chicago/Rockford",Chicago Rockford,Chicago/Rockford,US,42.1954,-89.0972,JFK,1.0
KAFW,AFW,"Fort Worth Alliance, Fort Worth",Alliance,Fort Worth,US,32.9876,-97.3188,JFK,1.0
TGPY,GND,"Point Salines, St. George's",Point Salines,St. George's,GD,12.004199,-61.7862,JFK,1.0
EFHK,HEL,"Helsinki Vantaa, Helsinki",Vantaa,Helsinki,FI,60.3172,24.9633,JFK,1.0
KEGE,EGE,"Eagle County Regional, Eagle",County Regional,Eagle,US,39.6426,-106.918,JFK,1.0
OKBK,KWI,"Kuwait, Kuwait City",Kuwait,Kuwait City,KW,29.2266,47.9689,JFK,1.0
MMMY,MTY,"General Mariano Escobedo, Monterrey",General Mariano Escobedo,Monterrey,MX,25.7785,-100.107,JFK,1.0
VABB,BOM,"Chhatrapati Shivaji, Mumbai",Chhatrapati Shivaji,Mumbai,IN,19.0887,72.8679,JFK,1.0
EDDM,MUC,"Munich, Munich",,Munich,DE,48.3538,11.7861,JFK,1.0
KSNA,SNA,"John Wayne -Orange County, Santa Ana",John Wayne -Orange County,Santa Ana,US,33.6757,-117.868,JFK,1.0
CYUL,YUL,"Montréal Pierre Elliott Trudeau, Montréal",Pierre Elliott Trudeau,Montréal,CA,45.4706,-73.7408,JFK,1.0
KPSP,PSP,"Palm Springs, Palm Springs",,Palm Springs,US,33.8297,-116.507,JFK,1.0
TJPS,PSE,"Mercedita, Ponce",Mercedita,Ponce,PR,18.0083,-66.563,JFK,1.0
MTPP,PAP,"Toussaint Louverture, Port-au-Prince",Toussaint Louverture,Port-au-Prince,HT,18.58,-72.2925,JFK,1.0
MDPP,POP,"Gregorio Luperon, Puerto Plata",Gregorio Luperon,Puerto Plata,DO,19.7579,-70.57,JFK,1.0
MMPR,PVR,"Licenciado Gustavo Díaz Ordaz, Puerto Vallarta",Licenciado Gustavo Díaz Ordaz,Puerto Vallarta,MX,20.6801,-105.254,JFK,1.0
KSMF,SMF,"Sacramento, Sacramento",,Sacramento,US,38.6954,-121.591,JFK,1.0
SCEL,SCL,"Comodoro Arturo Merino Benítez, Santiago",Comodoro Arturo Merino Benítez,Santiago,CL,-33.393,-70.7858,JFK,1.0
TLPL,UVF,"Hewanorra, Vieux Fort",Hewanorra,Vieux Fort,LC,13.7332,-60.9526,JFK,1.0
WSSS,SIN,"Singapore Changi, Singapore",Changi,Singapore,SG,1.35019,103.994,JFK,1.0
EPWA,WAW,"Warsaw Chopin, Warsaw",Chopin,Warsaw,PL,52.1657,20.9671,JFK,1.0
SPJC,LIM,"Jorge Chávez, Lima",Jorge Chávez,Lima,PE,-12.0219,-77.1143,JFK,0.9
EDDB,BER,"Berlin Brandenburg, Berlin",Brandenburg,Berlin,DE,52.35139,13.493889,JFK,0.86
EKCH,CPH,"Copenhagen Kastrup, Copenhagen",Kastrup,Copenhagen,DK,55.6179,12.656,JFK,0.86
MMGL,GDL,"Don Miguel Hidalgo Y Costilla, Guadalajara",Don Miguel Hidalgo Y Costilla,Guadalajara,MX,20.5218,-103.311,JFK,0.86
KONT,ONT,"Ontario, Ontario",,Ontario,US,34.056,-117.601,JFK,0.86
KRNO,RNO,"Reno Tahoe, Reno",Tahoe,Reno,US,39.4991,-119.768,JFK,0.86
RJAA,NRT,"Narita, Tokyo",Narita,Tokyo,JP,35.7647,140.386,JFK,0.86
GOBD,DSS,"Blaise Diagne, Dakar",Blaise Diagne,Dakar,SN,14.671111,-17.066944,JFK,0.71
EGPH,EDI,"Edinburgh, Edinburgh",,Edinburgh,GB,55.95,-3.372499,JFK,0.71
EBLG,LGG,"Liège, Liège",,Liège,BE,50.6374,5.44322,JFK,0.71
ENGM,OSL,"Oslo Gardermoen, Oslo",Gardermoen,Oslo,NO,60.1939,11.100399,JFK,0.71
KSLK,SLK,"Adirondack Regional, Saranac Lake",Adirondack Regional,Saranac Lake,US,44.3853,-74.2062,JFK,0.71
CYVR,YVR,"Vancouver, Vancouver",,Vancouver,CA,49.1939,-123.184,JFK,0.71
KHPN,HPN,"Westchester County, White Plains",Westchester County,White Plains,US,41.067,-73.7076,JFK,0.71
TFFR,PTP,"Pointe-à-Pitre Le Raizet, Pointe-à-Pitre Le Raizet",,Pointe-à-Pitre Le Raizet,GP,16.2653,-61.5318,JFK,0.64
LYBE,BEG,"Belgrade Nikola Tesla, Belgrade",Nikola Tesla,Belgrade,RS,44.8184,20.3091,JFK,0.57
KBZN,BZN,"Gallatin Field, Bozeman",Gallatin Field,Bozeman,US,45.7775,-111.153,JFK,0.57
KOKC,OKC,"Will Rogers World, Oklahoma City",Will Rogers World,Oklahoma City,US,35.3931,-97.6007,JFK,0.57
CYHZ,YHZ,"Halifax / Stanfield, Halifax",Stanfield,Halifax,CA,44.8808,-63.5086,JFK,0.57
EDDP,LEJ,"Leipzig Halle, Leipzig",Halle,Leipzig,DE,51.4324,12.2416,JFK,0.57
HKJK,NBO,"Jomo Kenyatta, Nairobi",Jomo Kenyatta,Nairobi,KE,-1.319239,36.9278,JFK,0.57
KMVY,MVY,"Martha's Vineyard, Martha's Vineyard",,Martha's Vineyard,US,41.3931,-70.6143,JFK,0.57
EPRZ,RZE,"Rzeszów-Jasionka, Rzeszów",Jasionka,Rzeszów,PL,50.11,22.019,JFK,0.57
CYYC,YYC,"Calgary, Calgary",,Calgary,CA,51.1139,-114.02,JFK,0.43
CYHM,YHM,"John C. Munro Hamilton, Hamilton",John C. Munro,Hamilton,CA,43.1736,-79.935,JFK,0.43
KISP,ISP,"Long Island Mac Arthur, Islip",Long Island Mac Arthur,Islip,US,40.7952,-73.1002,JFK,0.43
OEJN,JED,"King Abdulaziz, Jeddah",King Abdulaziz,Jeddah,SA,21.6796,39.1565,JFK,0.43
KISO,ISO,"Kinston Regional Jetport At Stallings Field, Kinston",Regional Jetport At Stallings Field,Kinston,US,35.3314,-77.6088,JFK,0.43
RPLL,MNL,"Ninoy Aquino, Manila",Ninoy Aquino,Manila,PH,14.5086,121.02,JFK,0.43
NZAA,AKL,"Auckland, Auckland",,Auckland,NZ,-37.0081,174.792,JFK,0.43
OERK,RUH,"King Khaled, Riyadh",King Khaled,Riyadh,SA,24.9576,46.6988,JFK,0.43
TNCC,CUR,"Hato, Willemstad",Hato,Willemstad,CW,12.188899,-68.9598,JFK,0.43
SBGL,GIG,"RIOgaleão – Tom Jobim, Rio de Janeiro",RIOgaleão – Tom Jobim,Rio de Janeiro,BR,-22.81,-43.250557,JFK,0.31
DXXX,LFW,"Lomé-Tokoin, Lomé",Tokoin,Lomé,TG,6.165609,1.25451,JFK,0.29
OJAI,AMM,"Queen Alia, Amman",Queen Alia,Amman,JO,31.7226,35.9932,JFK,0.29
KABQ,ABQ,"Albuquerque  Sunport, The Duke City",Albuquerque  Sunport,The Duke City,US,35.0402,-106.609,JFK,0.29
KBUR,BUR,"Bob Hope, Burbank",Bob Hope,Burbank,US,34.2007,-118.359,JFK,0.29
KSUA,SUA,"Witham Field, Stuart",Witham Field,Stuart,US,27.1817,-80.2211,JFK,0.29
LPMA,FNC,"Madeira, Funchal",Madeira,Funchal,PT,32.6979,-16.7745,JFK,0.29
KGAI,GAI,"Montgomery County Airpark, Gaithersburg",Montgomery County Airpark,Gaithersburg,US,39.1683,-77.166,JFK,0.29
MUHA,HAV,"José Martí, Havana",José Martí,Havana,CU,22.9892,-82.4091,JFK,0.29
KHEF,MNZ,"Manassas Regional /Harry P. Davis Field, Manassas",Regional /Harry P. Davis Field,Manassas,US,38.7214,-77.5154,JFK,0.29
LFMN,NCE,"Nice-Côte d'Azur, Nice",Côte d'Azur,Nice,FR,43.6584,7.215869,JFK,0.29
LPPD,PDL,"João Paulo II, Ponta Delgada",João Paulo II,Ponta Delgada,PT,37.7412,-25.6979,JFK,0.29
KNZY,NZY,"North Island Naval Air Station-Halsey Field, San Diego",North Island Naval Air Station-Halsey Field,San Diego,US,32.6992,-117.215,JFK,0.29
ZSPD,PVG,"Shanghai Pudong, Shanghai",Pudong,Shanghai,CN,31.1434,121.805,JFK,0.29
UTTT,TAS,"Tashkent, Tashkent",,Tashkent,UZ,41.2579,69.2812,JFK,0.29
LOWW,VIE,"Schwechat, Vienna",Schwechat,Vienna,AT,48.1103,16.5697,JFK,0.29
CYWG,YWG,"Winnipeg / James Armstrong Richardson, Winnipeg City",Winnipeg / James Armstrong Richardson,Winnipeg City,CA,49.91,-97.2399,JFK,0.29
TKPK,SKB,"Robert L. Bradshaw, Basseterre",Robert L. Bradshaw,Basseterre,KN,17.3112,-62.7187,JFK,0.14
KBVY,BVY,"Beverly Municipal, Beverly",Municipal,Beverly,US,42.5842,-70.9165,JFK,0.14
KBIS,BIS,"Bismarck Municipal, Bismarck",Municipal,Bismarck,US,46.7727,-100.746,JFK,0.14
KCDW,CDW,"Essex County, Caldwell",Essex County,Caldwell,US,40.8752,-74.2814,JFK,0.14
KCSG,CSG,"Columbus Metropolitan, Columbus",Metropolitan,Columbus,US,32.5163,-84.9389,JFK,0.14
KAPA,APA,"Centennial, Denver",Centennial,Denver,US,39.5701,-104.849,JFK,0.14
KDOV,DOV,"Dover Air Force Base, Dover",Air Force Base,Dover,US,39.1295,-75.466,JFK,0.14
ZGGG,CAN,"Guangzhou Baiyun, Guangzhou",Baiyun,Guangzhou,CN,23.3924,113.299,JFK,0.14
KBDL,BDL,"Bradley, Hartford",Bradley,Hartford,US,41.9389,-72.6832,JFK,0.14
KJAC,JAC,"Jackson Hole, Jackson",Hole,Jackson,US,43.6073,-110.738,JFK,0.14
KTYS,TYS,"McGhee Tyson, Knoxville",McGhee Tyson,Knoxville,US,35.811,-83.994,JFK,0.14
KLNS,LNS,"Lancaster, Lancaster",,Lancaster,US,40.1217,-76.2961,JFK,0.14
ELLX,LUX,"Luxembourg-Findel, Luxembourg",Findel,Luxembourg,LU,49.6266,6.21152,JFK,0.14
KMCN,MCN,"Middle Georgia Regional, Macon",Middle Georgia Regional,Macon,US,32.6928,-83.6492,JFK,0.14
KMSN,MSN,"Dane County Regional Truax Field, Madison",Dane County Regional Truax Field,Madison,US,43.1399,-89.3375,JFK,0.14
KMMU,MMU,"Morristown Municipal, Morristown",Municipal,Morristown,US,40.7994,-74.4149,JFK,0.14
KPHL,PHL,"Philadelphia, Philadelphia",,Philadelphia,US,39.8719,-75.2411,JFK,0.14
TVSV,SVD,"E. T. Joshua, Kingstown",E. T. Joshua,Kingstown,VC,13.1443,-61.2109,JFK,0.14
TTCP,TAB,"Tobago-Crown Point, Scarborough",Tobago-Crown Point,Scarborough,TT,11.1497,-60.8322,JFK,0.14
KSTL,STL,"Lambert St Louis, Saint Louis",Lambert St Louis,Saint Louis,US,38.7487,-90.37,JFK,0.14
KTEB,TEB,"Teterboro, Teterboro",,Teterboro,US,40.8501,-74.0608,JFK,0.14
KICT,ICT,"Wichita Mid Continent, Wichita",Mid Continent,Wichita,US,37.6499,-97.4331,JFK,0.14
LEZG,ZAZ,"Zaragoza Air Base, Zaragoza",Air Base,Zaragoza,ES,41.6662,-1.04155,JFK,0.14
